# _tick,_time,frames,mean_episode_return_0,loss_0
89,1760608053.8242428,284800,-0.14914563298225403,0.8094585537910461
90,1760608054.4959111,288000,-0.14860884845256805,0.812339723110199
91,1760608055.1901374,291200,-0.14793725311756134,0.7975114583969116
92,1760608056.0434442,294400,-0.14741580188274384,0.7949954867362976
93,1760608056.7160878,297600,-0.14710509777069092,0.81453537940979
94,1760608057.433366,300800,-0.1466182917356491,0.8048025369644165
95,1760608058.1896472,304000,-0.14712916314601898,0.8799538612365723
96,1760608058.7858539,307200,-0.14647826552391052,0.8353584408760071
97,1760608059.2702487,310400,-0.14570499956607819,0.8262476325035095
98,1760608060.0848866,313600,-0.14484848082065582,0.815674901008606
99,1760608060.7831182,316800,-0.14458608627319336,0.8303605914115906
100,1760608061.3558333,320000,-0.1382419615983963,0.7941256761550903
101,1760608061.985991,323200,-0.13092158734798431,0.8143699169158936
102,1760608062.8033366,326400,-0.12393409758806229,0.802208662033081
103,1760608063.589295,329600,-0.11802563071250916,0.8074601888656616
104,1760608064.2408814,332800,-0.11661829799413681,0.8052532076835632
105,1760608064.8327787,336000,-0.11565208435058594,0.797130823135376
106,1760608065.4597273,339200,-0.11454933136701584,0.833954930305481
107,1760608066.3286152,342400,-0.11381799727678299,0.8141646385192871
108,1760608066.9709182,345600,-0.11258251219987869,0.8005012273788452
109,1760608067.5169358,348800,-0.1114492416381836,0.8101977705955505
110,1760608068.2341962,352000,-0.11041447520256042,0.8190591931343079
111,1760608068.9466045,355200,-0.10905929654836655,0.8122710585594177
112,1760608069.6374152,358400,-0.10801880806684494,0.8156487941741943
113,1760608070.229104,361600,-0.10693281143903732,0.8112964034080505
114,1760608070.9663255,364800,-0.10568699240684509,0.8125556707382202
115,1760608071.6860037,368000,-0.10459963977336884,0.8289145827293396
116,1760608072.3247125,371200,-0.10391030460596085,0.8116315603256226
117,1760608072.9369943,374400,-0.10333674401044846,0.8491131067276001
118,1760608073.5525887,377600,-0.102990061044693,0.8264215588569641
119,1760608074.1220946,380800,-0.10246110707521439,0.8104913830757141
120,1760608074.6726592,384000,-0.10182136297225952,0.8012344837188721
121,1760608075.1677082,387200,-0.10044023394584656,0.8059362173080444
122,1760608075.1165502,390400,-0.10003058612346649,0.8017057180404663
123,1760608075.8240185,393600,-0.09930498898029327,0.791057825088501
124,1760608076.3913689,396800,-0.09919807314872742,0.8098969459533691
125,1760608077.030103,400000,-0.09912688285112381,0.8072580099105835
126,1760608077.53882,403200,-0.09955139458179474,0.8576381802558899
127,1760608078.1466432,406400,-0.09923555701971054,0.8259355425834656
128,1760608078.7847176,409600,-0.09826980531215668,0.7996434569358826
129,1760608079.5599508,412800,-0.09786953032016754,0.807241678237915
130,1760608080.1929753,416000,-0.09775941073894501,0.8248564004898071
131,1760608080.8893104,419200,-0.09773138910531998,0.8013612627983093
132,1760608081.3908885,422400,-0.09729556739330292,0.8189692497253418
133,1760608082.1710403,425600,-0.09671664983034134,0.8316433429718018
134,1760608082.8718445,428800,-0.09632832556962967,0.829851508140564
135,1760608083.6734357,432000,-0.09614498168230057,0.8151119351387024
136,1760608084.4186018,435200,-0.09629585593938828,0.8079416155815125
137,1760608085.28916,438400,-0.0963296890258789,0.821180522441864
138,1760608086.091138,441600,-0.09652092307806015,0.8079162836074829
139,1760608086.6706927,444800,-0.09633738547563553,0.7914178371429443
140,1760608087.4263337,448000,-0.09639065712690353,0.7986139059066772
141,1760608088.2063618,451200,-0.09667758643627167,0.7926176190376282
142,1760608088.906113,454400,-0.09669334441423416,0.804069995880127
143,1760608089.4813964,457600,-0.09667780250310898,0.7977938055992126
144,1760608090.1281023,460800,-0.09688844531774521,0.850657045841217
145,1760608090.991849,464000,-0.09725438058376312,0.8050047159194946
146,1760608091.5888047,467200,-0.09690410643815994,0.8236852288246155
